capital,"100,000",,,,,,,,
,,,,,,,,,
date,Close,220 SMA,230 SMA,Signal ,Entry/Exit point,Position,Cash,,Buy&Hold
1/18/2017,211.9626,197.7703555,196.977117,1,0,503.8382832,0,,526.7141517
1/19/2017,211.1774,197.8958841,197.1203043,1,0,503.8382832,0,,526.7141517
1/20/2017,211.9532,198.0340486,197.2766522,1,0,503.8382832,0,,526.7141517
1/23/2017,211.4017,198.16563,197.4271009,1,0,503.8382832,0,,526.7141517
1/24/2017,212.7572,198.3027073,197.574133,1,0,503.8382832,0,,526.7141517
1/25/2017,214.5987,198.4347609,197.7309652,1,0,503.8382832,0,,526.7141517
1/26/2017,214.3743,198.5668764,197.8929061,1,0,503.8382832,0,,526.7141517
1/27/2017,214.0378,198.6988345,198.0352809,1,0,503.8382832,0,,526.7141517
1/30/2017,212.7104,198.8198927,198.168343,1,0,503.8382832,0,,526.7141517
1/31/2017,212.6917,198.9355,198.2982404,1,0,503.8382832,0,,526.7141517
2/1/2017,212.7759,199.0481641,198.4258978,1,0,503.8382832,0,,526.7141517
2/2/2017,212.9161,199.1602527,198.5535283,1,0,503.8382832,0,,526.7141517
2/3/2017,214.3837,199.2794723,198.696253,1,0,503.8382832,0,,526.7141517
2/6/2017,214.0004,199.4025973,198.8334122,1,0,503.8382832,0,,526.7141517
2/7/2017,214.0098,199.5261377,198.9699757,1,0,503.8382832,0,,526.7141517
2/8/2017,214.2902,199.6504509,199.0949465,1,0,503.8382832,0,,526.7141517
2/9/2017,215.5615,199.7726795,199.2264796,1,0,503.8382832,0,,526.7141517
2/10/2017,216.4122,199.8950155,199.3630239,1,0,503.8382832,0,,526.7141517
2/13/2017,217.59,200.0247955,199.5000343,1,0,503.8382832,0,,526.7141517
2/14/2017,218.4594,200.1526741,199.6356922,1,0,503.8382832,0,,526.7141517
2/15/2017,219.5998,200.2885373,199.773127,1,0,503.8382832,0,,526.7141517
2/16/2017,219.4128,200.4321668,199.9085887,1,0,503.8382832,0,,526.7141517
2/17/2017,219.7587,200.5680418,200.0459943,1,0,503.8382832,0,,526.7141517
2/21/2017,221.0674,200.7201923,200.1944922,1,0,503.8382832,0,,526.7141517
2/22/2017,220.8711,200.8691541,200.342493,1,0,503.8382832,0,,526.7141517
2/23/2017,221.0207,201.0207991,200.4906643,1,0,503.8382832,0,,526.7141517
2/24/2017,221.3011,201.1657755,200.6325335,1,0,503.8382832,0,,526.7141517
2/27/2017,221.647,201.3036241,200.7723104,1,0,503.8382832,0,,526.7141517
2/28/2017,221.0487,201.438715,200.9114857,1,0,503.8382832,0,,526.7141517
3/1/2017,224.1428,201.5888314,201.0585148,1,0,503.8382832,0,,526.7141517
3/2/2017,222.7313,201.7264309,201.2020861,1,0,503.8382832,0,,526.7141517
3/3/2017,222.8715,201.861905,201.3545087,1,0,503.8382832,0,,526.7141517
3/6/2017,222.2078,201.9935264,201.4951243,1,0,503.8382832,0,,526.7141517
3/7/2017,221.5441,202.1268555,201.6427322,1,0,503.8382832,0,,526.7141517
3/8/2017,221.1328,202.258315,201.7863552,1,0,503.8382832,0,,526.7141517
3/9/2017,221.4133,202.3925545,201.9331139,1,0,503.8382832,0,,526.7141517
3/10/2017,222.1891,202.5290277,202.0756478,1,0,503.8382832,0,,526.7141517
3/13/2017,222.3013,202.6642095,202.2103478,1,0,503.8382832,0,,526.7141517
3/14/2017,221.4507,202.8034795,202.341313,1,0,503.8382832,0,,526.7141517
3/15/2017,223.367,202.9561286,202.4815296,1,0,503.8382832,0,,526.7141517
3/16/2017,222.9276,203.0999273,202.614,1,0,503.8382832,0,,526.7141517
3/17/2017,222.5379,203.249525,202.7421335,1,0,503.8382832,0,,526.7141517
3/20/2017,222.2938,203.4028182,202.8684061,1,0,503.8382832,0,,526.7141517
3/21/2017,219.4397,203.5433055,202.9867887,1,0,503.8382832,0,,526.7141517
3/22/2017,219.9561,203.6830041,203.1074165,1,0,503.8382832,0,,526.7141517
3/23/2017,219.7213,203.8209282,203.228463,1,0,503.8382832,0,,526.7141517
3/24/2017,219.5617,203.9474205,203.3475791,1,0,503.8382832,0,,526.7141517
3/27/2017,219.3364,204.0810414,203.4639926,1,0,503.8382832,0,,526.7141517
3/28/2017,220.9325,204.2216664,203.5949543,1,0,503.8382832,0,,526.7141517
3/29/2017,221.139,204.3707555,203.7312796,1,0,503.8382832,0,,526.7141517
3/30/2017,221.8432,204.5146,203.8641113,1,0,503.8382832,0,,526.7141517
3/31/2017,221.3268,204.6641632,204.0019391,1,0,503.8382832,0,,526.7141517
4/3/2017,220.9419,204.8117295,204.1426896,1,0,503.8382832,0,,526.7141517
4/4/2017,221.0827,204.9629041,204.2842122,1,0,503.8382832,0,,526.7141517
4/5/2017,220.4255,205.1056982,204.4198778,1,0,503.8382832,0,,526.7141517
4/6/2017,221.0451,205.2524791,204.5575609,1,0,503.8382832,0,,526.7141517
4/7/2017,220.8198,205.3871145,204.6840235,1,0,503.8382832,0,,526.7141517
4/10/2017,220.9513,205.5164527,204.8188561,1,0,503.8382832,0,,526.7141517
4/11/2017,220.6884,205.644345,204.9523057,1,0,503.8382832,0,,526.7141517
4/12/2017,219.7213,205.7640786,205.0887487,1,0,503.8382832,0,,526.7141517
4/13/2017,218.2943,205.8789982,205.2109091,1,0,503.8382832,0,,526.7141517
4/17/2017,220.2283,206.0009109,205.3491935,1,0,503.8382832,0,,526.7141517
4/18/2017,219.5711,206.1171605,205.4843839,1,0,503.8382832,0,,526.7141517
4/19/2017,219.1674,206.2342091,205.6206583,1,0,503.8382832,0,,526.7141517
4/20/2017,220.9513,206.3548927,205.75953,1,0,503.8382832,0,,526.7141517
4/21/2017,220.2471,206.4709959,205.8964596,1,0,503.8382832,0,,526.7141517
4/24/2017,222.6694,206.5952245,206.033283,1,0,503.8382832,0,,526.7141517
4/25/2017,223.965,206.726555,206.1701009,1,0,503.8382832,0,,526.7141517
4/26/2017,223.8242,206.8656491,206.3060665,1,0,503.8382832,0,,526.7141517
4/27/2017,224.0119,207.0123727,206.4392491,1,0,503.8382832,0,,526.7141517
4/28/2017,223.5237,207.1585882,206.5719087,1,0,503.8382832,0,,526.7141517
5/1/2017,224.087,207.3085764,206.7052978,1,0,503.8382832,0,,526.7141517
5/2/2017,224.1715,207.4563564,206.8364948,1,0,503.8382832,0,,526.7141517
5/3/2017,223.8993,207.606125,206.9690278,1,0,503.8382832,0,,526.7141517
5/4/2017,224.1622,207.7514991,207.0984248,1,0,503.8382832,0,,526.7141517
5/5/2017,225.0447,207.898405,207.2303391,1,0,503.8382832,0,,526.7141517
5/8/2017,225.0071,208.0465686,207.3593304,1,0,503.8382832,0,,526.7141517
5/9/2017,224.8006,208.1824045,207.4885839,1,0,503.8382832,0,,526.7141517
5/10/2017,225.2043,208.3523523,207.6276309,1,0,503.8382832,0,,526.7141517
5/11/2017,224.7442,208.5350445,207.7711591,1,0,503.8382832,0,,526.7141517
5/12/2017,224.3687,208.7009014,207.9146913,1,0,503.8382832,0,,526.7141517
5/15/2017,225.608,208.8578486,208.0647713,1,0,503.8382832,0,,526.7141517
5/16/2017,225.4015,209.0020264,208.2114739,1,0,503.8382832,0,,526.7141517
